NUM_CERTIFICADO|TASA_INTERES_ANTERIOR|TASA_POOL_ANTERIOR|TASA_INTERES_NUEVA|TASA_POOL_NUEVA|FECHA_CAMBIO_TASA|USUARIO_CAMBIO_TASA
AA2528063FP0|9.45|11|9.45|11|20260302|USERVINPUTTER01
AA25280W5L3F|8.55|11|8.55|11|20260302|USERVINPUTTER01
AA25280WJ0V1|4.03|5.35|2.88|4.2|20260302|USERVINPUTTER01
AA252806PRSC|5|10|5.01|10.01|20260302|USERVINPUTTER01
AA25280VYDB3|0.46|1.1|3.56|4.2|20260302|USERVINPUTTER01
AA25280XCWTN|7.36|10.9|7.36|10.9|20260302|USERVINPUTTER01
AA25280XD4HD|5.25|5.35|4.1|4.2|20260302|USERVINPUTTER01
AA25280XF9TD|1|4|7.01|10.01|20260302|USERVINPUTTER01
AA252800DS9R|4.9|10.9|4.9|10.9|20260302|USERVINPUTTER01
AA25280VN0JQ|8.35|12.7|4.5|8.85|20260302|USERVINPUTTER01
AA25280VNRL7|9|10.65|7.2|8.85|20260302|USERVINPUTTER01
AA25280XKS3X|6.7|10.5|6.21|10.01|20260302|USERVINPUTTER01
AA25276TWMTL|6.83|11|6.83|11|20260302|USERVINPUTTER01
AA25280XZJXH|2.73|10.9|2.73|10.9|20260302|USERVINPUTTER01
AA252806GH7L|8.45|10.5|7.96|10.01|20260302|USERVINPUTTER01
AA25280WFJWQ|7.3|11.35|4.8|8.85|20260302|USERVINPUTTER01
AA25280XGN2Y|3.7|4.5|3.7|4.5|20260302|USERVINPUTTER01
AA25280XLPZB|7.5|11.35|5|8.85|20260302|USERVINPUTTER01
AA2528068Q14|8.45|10.9|8.45|10.9|20260302|USERVINPUTTER01
AA252806G9FV|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280VP6SQ|0.46|0|4.66|4.2|20260302|USERVINPUTTER01
AA25280WS7WC|5.25|5.35|4.1|4.2|20260302|USERVINPUTTER01
AA25280WX88H|2.63|8.7|2.78|8.85|20260302|USERVINPUTTER01
AA252805Y7Q1|5.5|12.7|1.65|8.85|20260302|USERVINPUTTER01
AA25280X1RQG|2.5|7.85|3.5|8.85|20260302|USERVINPUTTER01
AA25280XLJJ5|8.3|10.5|6.65|8.85|20260302|USERVINPUTTER01
AA252806P49J|2|5.75|0.65|4.4|20260302|USERVINPUTTER01
AA25280W4KBS|8.1|10.5|6.45|8.85|20260302|USERVINPUTTER01
AA25280WT2KT|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA25280XVZ5J|3|5.75|1.65|4.4|20260302|USERVINPUTTER01
AA25280XMYRP|4.15|5.5|3.05|4.4|20260302|USERVINPUTTER01
AA252806K55C|8|8.3|8.55|8.85|20260302|USERVINPUTTER01
AA252806H45C|5.4|10.9|5.4|10.9|20260302|USERVINPUTTER01
AA252806FH3Z|9.5|11.35|7|8.85|20260302|USERVINPUTTER01
AA25280XY9HM|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA25280WFL25|7.9|11|7.9|11|20260302|USERVINPUTTER01
AA252805XY4Y|4.25|4.45|4.25|4.45|20260302|USERVINPUTTER01
AA252806DF0G|2.94|8|3.79|8.85|20260302|USERVINPUTTER01
AA25280XB5NX|7|12.7|4.31|10.01|20260302|USERVINPUTTER01
AA25280XKMGZ|3|5.75|1.65|4.4|20260302|USERVINPUTTER01
AA25276VTR71|6.83|11|6.83|11|20260302|USERVINPUTTER01
AA2528069XRC|10.45|11|10.45|11|20260302|USERVINPUTTER01
AA25280XD69F|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280XM44M|8.5|11.35|6|8.85|20260302|USERVINPUTTER01
AA25280W7Q4T|7|11|7|11|20260302|USERVINPUTTER01
AA25280WQWYH|5|7.9|5.95|8.85|20260302|USERVINPUTTER01
AA25280XL8M5|2.7|4.5|2.7|4.5|20260302|USERVINPUTTER01
AA2528060GQ8|3|12.7|0.31|10.01|20260302|USERVINPUTTER01
AA25280RRLJZ|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA25280WW7GK|6.55|11.35|4.05|8.85|20260302|USERVINPUTTER01
AA25280XVP86|5.7|10.5|5.21|10.01|20260302|USERVINPUTTER01
AA2528061FKP|8|11.35|5.5|8.85|20260302|USERVINPUTTER01
AA25280VY7FQ|2.5|5.75|1.15|4.4|20260302|USERVINPUTTER01
AA25280W74T0|2.7|7.7|3.85|8.85|20260302|USERVINPUTTER01
AA25280X5R9L|7|12.7|3.15|8.85|20260302|USERVINPUTTER01
AA25280Y3RQQ|8.46|12|4.38|7.92|20260302|USERVINPUTTER01
AA252806678V|4.15|5.55|3|4.4|20260302|USERVINPUTTER01
AA25280680ZN|7|11.5|5.51|10.01|20260302|USERVINPUTTER01
AA25280WF48F|0.46|1.66|3|4.2|20260302|USERVINPUTTER01
AA252800D2B9|2|3|3.2|4.2|20260302|USERVINPUTTER01
AA25280VNWK3|5.55|10.9|5.55|10.9|20260302|USERVINPUTTER01
AA25280W25R7|2.5|12.7|0|10.01|20260302|USERVINPUTTER01
