ID_BLOQUEO|ID_PRODUCTO|ID_CUSTOMER|ID_TIPO_BLOQUEO|DESC_TIPO_BLOQUEO|ESTADO_BLOQUEO|MONTO_BLOQUEO|FECHA_INICIO|FECHA_FIN|ID_PRODUCTO_GARANTIZADO
ACLK2528064030|9766016|1626407|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|47500.00|20251007||AA25169HF2QJ
ACLK2528065351|9729510|351792|EMBARGO.TOTAL|Embargado Retentivo Total|ACTIVO|10000.00|20251007||
ACLK2528055098|9825652|1022634|FALLECIDO|Fallecido|ACTIVO|14216.37|20251007||
ACLK2528055857|9823945|128478|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|1350000.00|20251007||AA23314VVHRS
ACLK2528056064|9797813|1556932|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|25000.00|20251007||
ACLK2528056075|9789964|1705273|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|12500.00|20251007||
ACLK2528072886|9813263|1245705|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|420000.00|20251007||
ACLK2528105444|9793682|4948|CONGELAMIENTO.FONDOS|Congelamiento de fondos SIB|ACTIVO|7000000.00|20251008||
ACLK2528612340|9613085|657717|CONSIGNACION.FONDOS|Consignacion Fondos Demanda Laboral|ACTIVO|50000.00|20251013||
ACLK2528796266|9709743|501278|FALLECIDO|Fallecido|ACTIVO|2000.00|20251014||
ACLK2528083019|9847257|789518|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|21209.71|20251007||AA242015XPRN
ACLK2528037342|9846826|1740270|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|20000.00|20251007||
ACLK2528038062|9843807|1837712|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|15000.00|20251007||
ACLK2528038143|9796043|1368814|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|408070.77|20251007||AA25155ZNL9W
ACLK2528016065|9788998|16191|EMBARGO.TOTAL|Embargado Retentivo Total|ACTIVO|222900.52|20251007||
ACLK2528016106|9839724|1935952|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|13000.00|20251007||
ACLK2528028244|9842479|683856|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528028308|9814807|1775647|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|20000.00|20251007||
ACLK2528002918|9775355|2103600|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|200000.00|20251007||AA242986VJZJ
ACLK2528044590|9858674|2364709]2364749|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|13000.00|20251007||
ACLK2528055781|9826788|427871|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|8000000.00|20251007||AA25157GFZ15
ACLK2528072250|9811235|826077]78659|EMBARGO.TOTAL|Embargado Retentivo Total|ACTIVO|852755.00|20251007||
ACLK2528072770|9803461|1671965|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528812214|9730480|4779|CONGELAMIENTO.FONDOS|Congelamiento de fondos SIB|ACTIVO|1000000.00|20251015||
ACLK2528037235|9813145|723337|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|11000000.00|20251007||AA24320V3M02
ACLK2528015940|9798586|1196838|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|912000.00|20251007||AA23202P3L5Y
ACLK2528016044|9845891|839463|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|7600.00|20251007||
ACLK2528001059|9853191|250884|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|15000.00|20251007||
ACLK2528001060|9806822|1339830|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|100000.00|20251007||AA251506WRB9
ACLK2528002815|9791802|967743|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|15000.00|20251007||
ACLK2528002858|9821821|23494|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|174343.11|20251007||
ACLK2528044504|9822480|994455|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|20000.00|20251007||
ACLK2528068168|9830831|592599|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|1700000.00|20251007||
ACLK2528068587|9794785|1565933|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|20000.00|20251007||
ACLK2528096984|9812992|1159097|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528064210|9793128|1358715|EMBARGO.TOTAL|Embargado Retentivo Total|ACTIVO|10000.00|20251007||
ACLK2528051571|9796212|699126|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|15000.00|20251007||
ACLK2528051650|9748925|1984217|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|50000.00|20251007||
ACLK2528055155|9791597|865467|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528072226|9847801|1663901|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|50000.00|20251007||
ACLK2528072544|9862768|145706|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2600186515|9866479|111746|OPOSICION|Oposición|ACTIVO|707666.50|20260101||
ACLK2528037923|9857450|1218147|OPOSICION|Oposición|ACTIVO|500000.00|20251007||
ACLK2528037928|9851771|5399|EMBARGO.TOTAL|Embargado Retentivo Total|ACTIVO|665166.27|20251007||
ACLK2528038485|9761814|724561|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|5000000.00|20251007||AA25035HL5LL
ACLK2528015847|9789299|395587|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|14000.00|20251007||
ACLK2528016301|9729672|1974767|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|27500.00|20251007||
ACLK2528016876|9802855|1498514|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|200000.00|20251007||
ACLK2528017018|9757042|1064631|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|50000.00|20251007||
ACLK2528017050|9840766|1330422|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|2000000.00|20251007||AA23314L5KCV
ACLK2528027997|9856644|1636293|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|18000.00|20251007||
ACLK2528028999|9801860|1324219|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528002675|9756529|1409938|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528044636|9814168|1664164]195061|EMBARGO.TOTAL|Embargado Retentivo Total|ACTIVO|28120.58|20251007||
ACLK2528055469|9862866|2248557|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|1000000.00|20251007||AA25024FQ5KC
ACLK2528072860|9847409|1359404]209033|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|3300000.00|20251007||AA25024JVL8Y
ACLK2528037712|9791654|717679|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|18000.00|20251007||
ACLK2528016824|9852490|11258|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|150000.00|20251007||
ACLK2528028067|9739178|347952]496652|FALLECIDO|Fallecido|ACTIVO|200000.00|20251007||
ACLK2528029339|9793182|1458911|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|4820000.00|20251007||AA25234BTYPW
ACLK2528001051|9806835|1317697|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|50000.00|20251007||
ACLK2528044499|9822231|2140114|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|30000.00|20251007||
ACLK2528044558|9824999|1401049|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528045208|9860079|2264463|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|50000.00|20251007||
ACLK2528067923|9732491|356705|EMBARGO.TOTAL|Embargado Retentivo Total|ACTIVO|1000000.00|20251007||
ACLK2528068128|9747241|1545555|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|15000.00|20251007||
ACLK2528068660|9768584|2124863|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|1000000.00|20251007||
ACLK2528055093|9801509|165500|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|7674000.00|20251007||AA25206XK46S
ACLK2528055579|9730364|293138]2026295|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|30000000.00|20251007||AA25220K514K
ACLK2528055684|9804095|1452240|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|3000000.00|20251007||
ACLK2528055708|9745893|731745|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|15666022.72|20251007||AA25273WPXS6
ACLK2528035002|9789144|108950|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|40000.00|20251007||
ACLK2528037722|9812700|752614]227947|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|1000000.00|20251007||AA25176C7KVB
ACLK2528015681|9840089|140381|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|13035.76|20251007||
ACLK2528016003|9848203|33573|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|91414.43|20251007||
ACLK2528016634|9815082|2091871|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|2500.00|20251007||
ACLK2528027647|9754726|352492]1159353|FALLECIDO|Fallecido|ACTIVO|44204.46|20251007||
ACLK2528028111|9793883|33653|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|82992.14|20251007||
ACLK2528028404|9839967|657583|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|500000.00|20251007||AA25196RV742
ACLK2528029270|9861886|1045124|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|50000.00|20251007||
ACLK2528002665|9848095|1230565|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|16500.00|20251007||
ACLK2528044503|9779297|774504|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|50000.00|20251007||
ACLK2528068640|9832552|250244|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|535000.00|20251007||AA251747CLMY
ACLK2528064173|9823421|1376701|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528072835|9799576|369259|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|40000.00|20251007||
ACLK2528072982|9803476|256318|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|10000.00|20251007||
ACLK2528083049|9738997|1991542|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|20000.00|20251007||
ACLK2528034931|9730643|36898|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|100000.00|20251007||
ACLK2528037513|9828287|1307759|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|15000.00|20251007||
ACLK2528038039|9762635|155021|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|1200000.00|20251007||AA23202V3W01
ACLK2528038347|9809826|678745|EMBARGO.TOTAL|Embargado Retentivo Total|ACTIVO|12308.42|20251007||
ACLK2528002913|9840304|847547|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|1390000.00|20251007||AA25164XHYKF
ACLK2528072601|9830194|1427721|GARANTIA.PR|Garantia Mobiliria Prestamo|ACTIVO|2500000.00|20251007||AA24110XVFK7
ACLK2528072950|9806687|188771|GARANTIA.TC|Garantia Mobiliria Tarjeta Credito|ACTIVO|25000.00|20251007||
ACLK2528072955|9853017|732743|GARANTIA.OTROS.PRODUCTOS|Gtia pignorado a otros producto BHD|ACTIVO|20070.90|20251007||
ACLK2536590391|9866259|178212|||ACTIVO|1000|20251231||
